brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
max,Straight Fit Cotton Palazzos,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25876114/2023/11/14/3f35c168-216e-45e9-a4ae-a6e4d51a68071699943022175WomenLaceHemPalazzos1.jpg",https://www.myntra.com/palazzos/max/max-straight-fit-cotton-palazzos/25876114/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:33.663707Z
TAG 7,Women Flared Printed Palazzos,998,3199,(Rs. 2201 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14027690/2021/4/20/49d4358d-b80d-4bc9-8382-e056feb2c90e1618923377220INDIGOFLORALPRINTFLAREDPALAZZO1.jpg",https://www.myntra.com/palazzos/tag+7/tag-7-women-navy-blue--white-printed-flared-palazzos/14027690/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:34.345435Z
TWIN BIRDS,Women Relaxed Fit Palazzos,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21852242/2023/2/6/b0851552-2413-4254-a199-672c1931be6e1675673154438TWINBIRDSWomenBlackPalazzos1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-elasticated-women-relaxed-fit-palazzos/21852242/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:34.726570Z
RATAN,Women Flared Palazzos,892,1899,(53% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21991260/2023/2/15/9b5a3953-91d7-48b6-8c57-1a2f441577861676459288643RATANWomenBlackFlaredGeorgettePalazzos1.jpg",https://www.myntra.com/palazzos/ratan/ratan-women-flared-georgette-palazzos/21991260/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:35.148154Z
Globus,Wide Leg Ethnic Palazzos,545,1299,(58% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24297104/2023/8/1/a67ed0e2-4782-4291-9d0b-ccfd4dc8322f1690908549493Palazzos1.jpg",https://www.myntra.com/palazzos/globus/globus-floral-lace-hem-design-wide-leg-ethnic-palazzos/24297104/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:35.593268Z
TWIN BIRDS,Mid-Rise Relaxed Fit Palazzos,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25954840/2023/11/20/d11c93e2-2d25-492c-9823-c7dd30bdf9531700502349855TWINBIRDSWomenOffWhitePalazzos1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-mid-rise-relaxed-fit-palazzos/25954840/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:36.140965Z
Sangria,Women Wide-Leg Palazzos,599,1999,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29809412/2024/5/28/391929f8-807c-4b9f-a65b-28f9cc6b7f721716871467528Palazzos1.jpg",https://www.myntra.com/palazzos/sangria/sangria-women-off-white-schiffli-wide-leg-palazzos/29809412/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:36.529690Z
Pistaa,Women Palazzos,779,2799,(Rs. 2020 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21224844/2022/12/16/67cddb9a-8d15-433e-af1b-7228e36996c41671206742180PistaaWomensCottonSolidRegularPalazzo1.jpg",https://www.myntra.com/palazzos/pistaa/pistaa-women-ethnic-palazzos/21224844/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:36.887234Z
TWIN BIRDS,Women Wide Leg Solid Palazzos,649,649,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/21/035da47d-e6cb-454a-9efa-ed83b52902871576883650245-1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-white-solid-wide-leg-palazzos/11203276/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:37.937919Z
MM-21,Wide Leg Cotton Denim Palazzo,599,1999,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25099080/2023/9/21/9bb0e375-440c-4cb9-ba97-2d22ddb34db41695300822020MM-21WomenBlueRelaxedStraightLegLooseFitTrousers1.jpg",https://www.myntra.com/palazzos/mm-21/mm-21-wide-leg-cotton-denim-palazzo/25099080/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:38.861270Z
Sangria,Women Embroidered Palazzo,624,2499,(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25419468/2023/10/10/35210543-b4a8-4b40-8590-22edefe39d5b1696915438751SangriaEmbroideredFlaredPalazzos1.jpg",https://www.myntra.com/palazzos/sangria/sangria-women-embroidered-flared-palazzos/25419468/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:39.992232Z
TWIN BIRDS,Women Relaxed Fit Palazzos,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18225694/2022/5/11/6dabf5cb-0ef2-4019-8270-e25d40ce9e931652247735319Palazzos1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-relaxed-fit-solid-woven-palazzos/18225694/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:41.228736Z
RATAN,Women Flared Palazzos,892,1899,(53% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21991258/2023/2/15/843e3301-e73d-44b4-b1e9-dd1d25daff6b1676459763570RATANWomenWhiteFlaredGeorgettePalazzos1.jpg",https://www.myntra.com/palazzos/ratan/ratan-women-flared-georgette-palazzos/21991258/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:42.400130Z
QOMN,Women Palazzos,615,1399,(Rs. 784 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16238448/2021/11/25/a66bb7d4-4064-4736-bf17-d26c551402801637833872973QOMNWomenWhiteSolid1.jpg",https://www.myntra.com/palazzos/qomn/qomn-women-white-cropped-ethnic-palazzos/16238448/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:43.002115Z
TWIN BIRDS,Relaxed Fit Palazzo,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28568548/2024/3/29/86ed3834-ef93-4e3d-9973-1659c51ef07f1711708681015TWINBIRDSWomenRelaxedTrousers1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-relaxed-fit-palazzo/28568548/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:43.865146Z
FIORRA,Women Cotton Straight Palazzo,549,1899,(Rs. 1350 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32089875/2024/12/26/4056f30a-aad6-4217-a9ac-50a92891f3401735228532915Palazzos1.jpg",https://www.myntra.com/palazzos/fiorra/fiorra-women-cotton-straight-chambray-palazzos/32089875/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:44.393448Z
Clora Creation,Women Straight Embroidered Palazzos,593,999,(Rs. 406 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/5/24/6b99ab79-f1a8-4347-8f75-3085c4dfd1671558686596258-1.jpg",https://www.myntra.com/palazzos/clora+creation/clora-creation-women-white-embroidered-straight-palazzos/9791977/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:45.026687Z
FIORRA,Flared Ethnic Regular Palazzos,747,1899,(Rs. 1152 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/8/KjN3g462_682808abe4cc4b53a01542bb02e73c45.jpg",https://www.myntra.com/palazzos/fiorra/fiorra-women-solid-flared-ethnic-regular-palazzos/35459990/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:45.592357Z
Sangria,Embroidered Slip-On Palazzos,599,1999,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29444004/2024/5/9/f7109de1-1cb1-4dd4-9a33-9a612a6de4581715244322402Palazzos1.jpg",https://www.myntra.com/palazzos/sangria/sangria-black-floral-schiffli-embroidered-slip-on-palazzos-with-pocket/29444004/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:46.057954Z
Laado - Pamper Yourself,Women Cotton Wide Leg Palazzos,640,2065,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13424784/2021/1/20/c45ef066-5c5f-43ad-b1f2-e21bfab1045e1611117135583-Laado---Pamper-Yourself-Women-Palazzos-6331611117133491-1.jpg",https://www.myntra.com/palazzos/laado+-+pamper+yourself/laado---pamper-yourself-women-white-solid-cotton-handloom-wide-leg-palazzos/13424784/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:46.436567Z
TWIN BIRDS,Women Relaxed Fit Palazzos,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18225704/2022/5/11/a3fc4247-7cf3-4167-9b70-6e731a00f19d1652247723040Palazzos1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-black-relaxed-fit-woven-palazzos/18225704/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:46.815770Z
Pistaa,Women Regular Palazzos,779,2799,(Rs. 2020 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21224836/2022/12/16/129b7a3e-5be5-435a-ba14-fb8c90828fd21671206734787PistaaWomensCottonSolidRegularPalazzo1.jpg",https://www.myntra.com/palazzos/pistaa/pistaa-women-regular-palazzos/21224836/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:47.206578Z
max,Women Straight Palazzos,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/14/XxYLFsts_a200e9f228a946f19e0688fd065b93a1.jpg",https://www.myntra.com/palazzos/max/max-women-straight-palazzos/32321275/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:47.659568Z
TWIN BIRDS,Women Solid Palazzos,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18225698/2022/5/11/9f6a0942-3f8b-46a0-a04b-6e57b4d8cdfc1652247759445Palazzos1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-grey-relaxed-fit-woven-palazzos/18225698/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:48.063065Z
InWeave,Women Printed Flared Palazzos,869,2999,(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27394422/2024/2/7/cbefe2c6-43b7-45d2-9607-8238175846b81707290045713InWeaveWomenFloralPrintedFlaredPalazzos1.jpg",https://www.myntra.com/palazzos/inweave/inweave-women-floral-printed-flared-palazzos/27394422/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:48.436633Z
Sangria,Women Wide Leg Palazzo,699,2499,(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29809410/2024/5/27/7ab736eb-86ec-4a19-a7a0-a0f7f4508eaa1716789428025Palazzos1.jpg",https://www.myntra.com/palazzos/sangria/sangria-women-off-white-ethnic-motifs-embroidered-wide-leg-palazzo/29809410/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:48.800808Z
TWIN BIRDS,Women Relaxed Fit Palazzo,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/28/lFMBjx83_c4106a78e7a24272ba0ccda146472531.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-viscose-wide-leg-relaxed-fit-solid-palazzo/34526510/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:49.177541Z
TAG 7,Women Set of 2 Palazzos,799,2550,(Rs. 1751 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11169318/2019/12/16/4dfd6cd3-893d-4e4b-8753-94fba7bf26101576491250070-TAG-7-Women-Set-of-2-White--Red-Solid-Flared-Palazzos-389157-1.jpg",https://www.myntra.com/palazzos/tag+7/tag-7-women-set-of-2-white--red-solid-flared-palazzos/11169318/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:49.594857Z
LIMEROAD,Women Printed Palazzos,441,499,(Rs. 58 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/7/5b6N0rhk_61264ecbc8ac4c05a98949f742c547c4.jpg",https://www.myntra.com/palazzos/limeroad/limeroad-women-ethnic-motifs-printed-palazzos/33988514/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:49.962408Z
FIORRA,Women Hem Design Palazzos,673,1999,(Rs. 1326 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/31/RL0aBtGL_4759f9d6a9b1434c94e646a3d7e49e02.jpg",https://www.myntra.com/palazzos/fiorra/fiorra-women-hem-design-lace-palazzos/34607861/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:50.368493Z
max,Women Palazzos,499,599,(Rs. 100 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20029616/2022/9/16/0c12d3ab-8b0a-490a-85dc-f4dc613b34241663337421881maxWomenBlackKnittedPalazzos1.jpg",https://www.myntra.com/palazzos/max/max-women-knitted-palazzos/20029616/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:50.794946Z
TAG 7 PLUS,Women Flared Palazzos,499,2279,(Rs. 1780 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15393722/2021/9/7/b23dec60-b744-40b2-bed6-3702bce804131631021186813TAG7WOMENBOTTLEGREENEXCESSFLAREDRAYONPALAZZO1.jpg",https://www.myntra.com/palazzos/tag+7+plus/tag-7-plus-women-plus-size-green-flared-ethnic-palazzos/15393722/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:51.299233Z
Blush 9 Maternity,Women Maternity Palazzos,899,1199,(25% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20629822/2022/11/10/560c1f20-a001-40b9-9738-18a85b4b05171668083771159-Blush-9-Maternity-Women-Palazzos-761668083770658-1.jpg",https://www.myntra.com/palazzos/blush+9+maternity/blush-9-maternity-women-black-solid-knitted-palazzos/20629822/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:51.679865Z
Pistaa,Women Cotton Palazzos,829,2899,(Rs. 2070 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21224858/2022/12/16/dab4f6e2-259b-4f45-a610-903e27abcc541671208926012PistaaWomensCottonSolidRegularPalazzo1.jpg",https://www.myntra.com/palazzos/pistaa/pistaa-women-cotton-ethnic-palazzos/21224858/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:52.039041Z
Globus,Printed Flared Palazzo,629,999,(37% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29220020/2025/2/17/0ac0df9e-6cac-440f-a186-759f51a4bcca1739783025819-Globus-Allover-Ethnic-Printed-Elasticated-Waistband-Flared-P-1.jpg",https://www.myntra.com/palazzos/globus/globus-allover-ethnic-printed-elasticated-waistband-flared-panelled-fusion-palazzos/29220020/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:52.434024Z
TWIN BIRDS,Solid Relaxed Fit Palazzos,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27455086/2024/2/8/c0bb1a2a-f9dc-4ded-a7b5-0a85e220ca4b1707391118105Palazzos1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-solid-relaxed-fit-palazzos/27455086/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:52.791364Z
Juniper,Women Flared Printed Palazzos,849,1699,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10529224/2024/1/31/120d4f83-f438-4097-9409-656f5e075cfa1706694594751-Juniper-Women-Beige-Printed-Flared-Palazzos-8651706694594325-1.jpg",https://www.myntra.com/palazzos/juniper/juniper-women-beige-printed-flared-palazzos/10529224/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:53.146989Z
Clora Creation,Women Flared Palazzos,593,1199,(Rs. 606 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17751204/2022/4/4/7ffcfabe-fdb5-426b-b74e-da647f4b91001649074156433CloraCreationWomenWhitePalazzos1.jpg",https://www.myntra.com/palazzos/clora+creation/clora-creation-women-white-flared-ethnic-palazzos/17751204/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:53.502694Z
TWIN BIRDS,Women Wide Leg Solid Palazzos,649,649,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11203292/2020/3/16/75a5abbe-925f-4554-97cc-2b08dd1e7f3a1584334911647-TWIN-BIRDS-Women-Black-Solid-Wide-Leg-Palazzos-5161584334910-1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-black-solid-wide-leg-palazzos/11203292/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:53.915244Z
Sangria,Women Wide Leg Palazzo,499,1999,(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29809408/2024/5/27/25e7cf30-b251-4a48-b497-e5b2ef76663d1716789419172Palazzos1.jpg",https://www.myntra.com/palazzos/sangria/sangria-women-off-white-wide-leg-schiffli-palazzo/29809408/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:54.276832Z
FAMBEE,Women Embroidered Flared Palazzos,439,1999,(78% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/23/z8GPgv81_8a2766dfc9db432586f9ce7fbb995f69.jpg",https://www.myntra.com/palazzos/fambee/fambee-women-floral-embroidered-flared-knitted-palazzos/32445951/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:54.765090Z
Saffron Threads,Women Flared Palazzo,840,1649,(49% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19396346/2022/8/5/8aa457f1-fcbe-4f47-a687-c5cf872fb72d1659681007510Palazzos1.jpg",https://www.myntra.com/palazzos/saffron+threads/saffron-threads-women-white-flared-ethnic-palazzo-with-lace-on-hem/19396346/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:55.156356Z
Moda Rapido,Women Wide Leg Palazzos,799,2799,(Rs. 2000 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/21/jiPoj6dv_c9d8d6ddda9f437688920b3929a8dd03.jpg",https://www.myntra.com/palazzos/moda+rapido/moda-rapido-women-wide-leg-ethnic-palazzos/35083998/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:55.729673Z
FAMBEE,Women Embroidered Flared Palazzos,439,1999,(78% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/23/SD5mMnkD_487bd7170356496b9ea648d7543aa62a.jpg",https://www.myntra.com/palazzos/fambee/fambee-women-floral-embroidered-flared-knitted-palazzos/32446007/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:56.442071Z
TWIN BIRDS,Women Pack of 2 Palazzos,1298,1298,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15511158/2021/9/17/a7afb125-c59e-4407-b409-529b7e7692db1631872070378TWINBIRDSWomenMustardSolid1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-mustard-yellow--green-pack-of-2-palazzos/15511158/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:56.811180Z
TAG 7,Women Pack Of 2 Solid Palazzos,799,2550,(Rs. 1751 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11169314/2019/12/16/3e2f2fc8-e237-40be-a23a-008e745f67b31576491188164-TAG-7-Women-White--Black-Solid-Flared-Palazzos-8121576491186-1.jpg",https://www.myntra.com/palazzos/tag+7/tag-7-women-pack-of-2-white--black-solid-flared-palazzos/11169314/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:00:57.924735Z
Dipani,Women Palazzos,1999,1999,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32197821/2025/7/5/ec78fb6b-df95-4417-8981-02405b6c5bef1751715187871-Dipani-Women-Palazzos-8221751715187242-1.jpg",https://www.myntra.com/palazzos/dipani/dipani-women-palazzos/32197821/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:01:00.842453Z
TWIN BIRDS,Women Pack Of 2 Wide Palazzos,1298,1298,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15511176/2021/9/17/7c5e185c-d432-4d03-b551-354766ab673d1631872068492TWINBIRDSWomenMustardSolid1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-pack-of-2-mustard--orange-solid-wide-leg-palazzos/15511176/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:01:01.789979Z
Sangria,Zari Embroidered Palazzo,649,2499,(74% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25419464/2023/10/10/450cd09a-be20-42a3-a285-87705bf0170c1696917295018SangriaFloralZariEmbroideredPalazzo1.jpg",https://www.myntra.com/palazzos/sangria/sangria-floral-zari-embroidered-palazzo/25419464/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:01:03.528061Z
Ethnicity,Embroidered Flared Palazzos,999,999,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25897200/2023/11/16/034dc9f4-2430-47ab-9695-1f6e8308aafc1700100119048Palazzos1.jpg",https://www.myntra.com/palazzos/ethnicity/ethnicity-embroidered-hem-mid-rise-flared-palazzos/25897200/buy,https://www.myntra.com/women-palazzos,1,ethnic_wear_palazzos,2025-08-12T11:01:05.164787Z
FIORRA,Women Cotton Palazzos,673,1999,(Rs. 1326 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/31/CuJc5zlc_7137322dfab94dc8a75313fe44b65b3a.jpg",https://www.myntra.com/palazzos/fiorra/fiorra-women-cotton-slip-on-lace-palazzos/34607898/buy,https://www.myntra.com/women-palazzos,2,ethnic_wear_palazzos,2025-08-12T11:01:20.079426Z
TWIN BIRDS,Women Wide Leg Solid Palazzos,649,649,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/20/7010f7f8-7020-43bd-9d17-4ad7a2d3aabd1576817017915-1.jpg",https://www.myntra.com/palazzos/twin+birds/twin-birds-women-grey-solid-wide-leg-palazzos/11203274/buy,https://www.myntra.com/women-palazzos,2,ethnic_wear_palazzos,2025-08-12T11:01:20.631018Z
Moda Rapido,Self Design Wide Leg Palazzo,799,2799,(Rs. 2000 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/21/najkRmHi_90633bed2841407bb49e6228cb534761.jpg",https://www.myntra.com/palazzos/moda+rapido/moda-rapido-women-self-design-wide-leg-palazzo/35083994/buy,https://www.myntra.com/women-palazzos,2,ethnic_wear_palazzos,2025-08-12T11:01:21.164319Z
Pistaa,Women Regular Palazzos,779,2799,(Rs. 2020 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21224836/2022/12/16/129b7a3e-5be5-435a-ba14-fb8c90828fd21671206734787PistaaWomensCottonSolidRegularPalazzo1.jpg",https://www.myntra.com/palazzos/pistaa/pistaa-women-regular-palazzos/21224836/buy,https://www.myntra.com/women-palazzos,2,ethnic_wear_palazzos,2025-08-12T11:01:21.827475Z
MICHAEL KOVLIN,Women Wide Leg Palazzos,749,2999,(Rs. 2250 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/9/MpHj4T98_ea21a8acf5364e74a4fdcaf971bd31ca.jpg",https://www.myntra.com/palazzos/michael+kovlin/michael-kovlin-women-wide-leg-palazzos/34023706/buy,https://www.myntra.com/women-palazzos,2,ethnic_wear_palazzos,2025-08-12T11:01:22.580256Z
TAG 7,Women Flared Solid Palazzos,499,1999,(Rs. 1500 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12380638/2022/4/18/dd04693d-9eeb-4624-b2d8-cf62d07465251650283402974TAG7WomenWhiteSolidFlaredPalazzos1.jpg",https://www.myntra.com/palazzos/tag+7/tag-7-women-white-solid-flared-palazzos/12380638/buy,https://www.myntra.com/women-palazzos,2,ethnic_wear_palazzos,2025-08-12T11:01:23.049243Z
Sangria,Women Embroidered Palazzo,624,2499,(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25419468/2023/10/10/35210543-b4a8-4b40-8590-22edefe39d5b1696915438751SangriaEmbroideredFlaredPalazzos1.jpg",https://www.myntra.com/palazzos/sangria/sangria-women-embroidered-flared-palazzos/25419468/buy,https://www.myntra.com/women-palazzos,2,ethnic_wear_palazzos,2025-08-12T11:01:23.478021Z
FIORRA,Women Palazzos,599,1899,(Rs. 1300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/31/42Wmk3Zr_a3997eaca8c941a8a5e746b4ef0c14d4.jpg",https://www.myntra.com/palazzos/fiorra/fiorra-women-slip-on-palazzos/34607869/buy,https://www.myntra.com/women-palazzos,2,ethnic_wear_palazzos,2025-08-12T11:01:23.964379Z
